,wb_id,catchment_outlet_edge_id
0,GB109054044910,node_19483-node_19484
1,GB109054044920,node_19172-node_19173
2,GB109054044940,node_19813-node_19814
3,GB109054044950,node_18226-node_18227
4,GB109054044960,node_16219-node_16220
5,GB109054044980,node_17865-node_17866
6,GB109054044990,node_20335-node_20651.reversed
7,GB109054045000,node_17076-node_17077
8,GB109054049130,node_15684-node_15685
9,GB109054049150,node_16306-node_16307
10,GB109054049190,node_16313-node_16316.reversed
11,GB109054044860,node_19587-node_19588
12,GB109054049201,node_16314-node_16315
13,GB109054049220,node_17231-node_17971.reversed
14,GB109054049230,node_17516-node_17517
15,GB109054049250,node_17240-node_17242
16,GB109054049260,node_15156-node_15157
17,GB109054049270,node_15582-node_15583
18,GB109054049290,node_15585-node_20810.reversed
19,GB109054049310,node_17226-node_19629.reversed
20,GB109054054970,node_5510-node_14020
21,GB109054054980,node_14022-node_14023
22,GB109054055000,node_14027-node_14028
23,GB109054055010,node_14029-node_14030
24,GB109054055020,node_14031-node_14032
25,GB109054055040,node_19520-node_19720
26,GB109054055050,node_19073-node_19075
27,GB109054055060,node_19853-node_19854
28,GB109054049350,node_17062-node_19625
29,GB109054049370,node_18291-node_18292
30,GB109054049450,node_15649-node_15650
31,GB109054044410,node_16797-node_16798
32,GB109054044440,node_13575-node_13576
33,GB109054044500,node_16043-node_16044
34,GB109054039910,node_4822-node_4823
35,GB109054039930,node_4824-node_13935
36,GB109054044000,node_4998-node_4999
37,GB109054044020,node_13951-node_13952
38,GB109054044160,node_623-node_624
39,GB109054044650,node_17980-node_17981
40,GB109054044720,node_18079-node_18080
41,GB109054044760,node_17103-node_19065
42,GB109054044790,node_19189-node_19190
43,GB109054044850,node_18816-node_18817
44,GB109054044870,node_18713-node_18714
45,GB109054044190,node_4087-node_4088
46,GB109053027540,node_7390-node_7391
47,GB109053027580,node_5412-node_5413
48,GB109054039550,node_14667-node_14668
49,GB109054039750,node_13789-node_13790
50,GB109054032610,
51,GB109053027590,node_5418-node_5419
52,GB109054044210,node_4096-node_4097
53,GB109054044250,node_12813-node_12814
54,GB109054044260,node_12815-node_12817
55,GB109054044350,node_16635-node_16645.reversed
56,GB109054044380,node_16646-node_16647
57,GB109054032710,
58,GB109054032740,node_13585-node_13586
59,GB109054049990,node_19092-node_19093
60,GB109054050010,node_16013-node_16014
61,GB109054050050,node_18370-node_19728
62,GB109054049520,node_17520-node_17521
63,GB109054049800,node_17430-node_17431
64,GB109054049820,node_17295-node_17296
65,GB109054049851,node_16948-node_20155
66,GB109054049860,node_18399-node_18400
67,GB109054049890,node_16812-node_16813
68,GB109054049910,node_15934-node_15935
69,GB109054049930,node_15936-node_20813.reversed
70,GB110062043540,node_19672-node_19673.reversed
71,GB110062043565,node_17098-node_17100
72,GB110063041400,node_18909-node_18910
73,GB110063041450,node_17405-node_17893
74,GB110063041490,node_19275-node_19276
75,GB110063041530,node_19556-node_19557
76,GB110063041560,node_18900-node_18903
77,GB110063041640,node_18067-node_18068
78,GB109054049550,node_16946-node_16947
79,GB109054049560,node_18905-node_18906
80,GB109054049590,node_18465-node_18466
81,GB109054049610,node_18083-node_18084
82,GB109054049640,node_16380-node_16381
83,GB109054049690,node_18082-node_18554
84,GB109054049700,node_17011-node_17012
85,GB109054049730,node_16968-node_18314.reversed
86,GB109054049750,node_17588-node_17589
87,GB109054049770,node_17300-node_17301
88,GB109054049810,node_19069-node_19070
89,GB109054049840,node_20040-node_20041
90,GB109054049852,node_20050-node_20145
91,GB109054049880,node_18874-node_18877
92,GB109054049920,node_17596-node_17597
93,GB109054049960,node_19722-node_19723
94,GB109054049970,node_18869-node_18870
95,GB109053027530,
96,GB110063041660,node_18203-node_18205
97,GB110063041690,node_18285-node_18286
98,GB110063041720,node_17485-node_17487
99,GB110064043570,node_19324-node_19325
100,GB110064043580,node_19692-node_19693.reversed
101,GB110064043590,node_19053-node_19054.reversed
102,GB110063041590,node_19159-node_19476.reversed
103,GB110064043620,node_17043-node_17044
104,GB110064048210,node_17155-node_19827
105,GB110064048250,node_19746-node_19747
106,GB110064048280,node_16977-node_16978
