dataset,wfd_id,source_station_id,source_station_name,easting,northing,source_recovery_fraction,current_assigned_arc,proposed_observation_arc,distance_to_nearest_arc_m,distance_to_current_assigned_arc_m,topological_relation_nearest_vs_current,directed_edge_distance_nearest_vs_current
flow,GB105036040710,36007,Belchamp Brook at Bardfield Bridge,584785.0,242156.0,1.0,node_7653-to-node_7654,node_7654-to-node_7655,0.16823997560255932,439.24482264792033,assigned_arc_upstream_of_station_arc,1.0
flow,GB105036040770,36009,Brett at Cockfield,591353.0,252546.0,1.0,node_7517-to-node_7518,node_7517-to-node_7518,0.3441003851408813,0.3441003851408813,same_arc,0.0
flow,GB105036040910,36010,Bumpstead Brook at Broad Green,568920.0,241826.0,1.0,node_8924-to-node_8925,node_8924-to-node_8925,7.270926138610672,7.270926138610672,same_arc,0.0
flow,GB105036040920,36003,Box at Polstead,598528.0,237881.0,1.0,node_8930-to-node_8931,node_8930-to-node_8931,5.551777448376206,5.551777448376206,same_arc,0.0
flow,GB105036040930,36013,Brett at Higham,603229.0,235408.0,1.0,node_7518-to-node_7514,node_8934-to-node_8935,4.4213356993966775,13548.223400294899,assigned_arc_upstream_of_station_arc,11.0
flow,GB105036040941,36015,Stour at Lamarsh,589681.0,235757.0,1.0,node_8952-to-node_8949,node_8942-to-node_8943,9.022627622784112,20572.914840260688,assigned_arc_upstream_of_station_arc,8.0
flow,GB105036040950,36011,Stour Brook at Sturmer,569640.0,244098.0,1.0,node_8951-to-node_8952,node_8951-to-node_8952,1.0341684502049786,1.0341684502049786,same_arc,0.0
flow,GB105036040970,36002,Glem at Glemsford,584576.0,247224.0,1.0,node_9058-to-node_8960,node_8956-to-node_8957,0.6465668469424666,6292.7047543167,assigned_arc_upstream_of_station_arc,3.0
flow,GB105036040980,36012,Stour at Kedington,570848.0,245012.0,1.0,node_8966-to-node_8964,node_8961-to-node_8962,4.830043157972397,5989.5324032979615,assigned_arc_upstream_of_station_arc,3.0
flow,GB105036040990,36004,Chad Brook at Long Melford,586785.0,245940.0,1.0,node_9054-to-node_9050,node_9050-to-node_9051,8.495968252915848,696.6146255459968,assigned_arc_upstream_of_station_arc,1.0
nitrate,GB105036040710,AN-BP0104,BELCHAMP BK.BARDFIELD BRIDGE,584649.0,242106.0,1.0,node_7653-to-node_7654,node_7654-to-node_7655,6.461133107981128,302.4142758255431,assigned_arc_upstream_of_station_arc,1.0
nitrate,GB105036040750,AN-BT0169,BILDESTON BK.U/S NEDGING MILL,599330.0,248040.0,1.0,node_7509-to-node_7510,node_7509-to-node_7510,5.3412554129429015,5.3412554129429015,same_arc,0.0
nitrate,GB105036040760,AN-BT0300,OLD R.BRETT A1141 RD.BR.CHELSWORTH,597658.0,248006.0,1.0,node_7516-to-node_7512,node_7512-to-node_7513,1.7646695957022462,3422.152311383586,assigned_arc_upstream_of_station_arc,1.0
nitrate,GB105036040770,AN-BT0200,LAVENHAM BK.A1141 BRG MONKS ELEIGH,597143.0,247691.0,1.0,node_7517-to-node_7518,node_7517-to-node_7518,2.3389565530781598,2.3389565530781598,same_arc,0.0
nitrate,GB105036040910,AN-ST1038,BUMPSTEAD BK.BROAD GREEN FORD,569086.0,241779.0,1.0,node_8924-to-node_8925,node_8924-to-node_8925,0.007088106103901646,0.007088106103901646,same_arc,0.0
nitrate,GB105036040920,AN-BX0134,R.BOX BOXFORD BYPASS BRIDGE,596462.0,240281.0,0.987012987012987,node_8930-to-node_8931,node_8930-to-node_8931,8.82218971063333,8.82218971063333,same_arc,0.0
nitrate,GB105036040930,AN-BT0112,R.BRETT LAYHAM MILL,603284.0,240446.0,0.9895833333333334,node_7518-to-node_7514,node_8934-to-node_8935,6.7523138149982085,9224.551752161095,assigned_arc_upstream_of_station_arc,11.0
nitrate,GB105036040941,AN-ST0604,R.STOUR PITMERE RAILWAY BRIDGE,589071.0,236915.0,1.0,node_8952-to-node_8949,node_8942-to-node_8943,1.95424513402108,19574.176586355206,assigned_arc_upstream_of_station_arc,8.0
nitrate,GB105036040950,AN-ST13,STOUR BK.STURMER BR.,569778.0,243988.0,1.0,node_8951-to-node_8952,node_8951-to-node_8952,5.2601481032295485,5.2601481032295485,same_arc,0.0
nitrate,GB105036040960,AN-ST0942,CHILTON BK.FOLLY RD.BR.CHILTON ST,575770.0,246965.0,1.0,node_8953-to-node_8954,node_8953-to-node_8954,3.086450773707887,3.086450773707887,same_arc,0.0
nitrate,GB105036040970,AN-GL01,R.GLEM A1092 RD.BR.,584339.0,246604.0,0.964467005076142,node_9058-to-node_8960,node_8956-to-node_8957,0.4867391601366656,6651.6641244879465,assigned_arc_upstream_of_station_arc,3.0
nitrate,GB105036040980,AN-ST14,R.STOUR KEDINGTON GS,570921.0,245234.0,0.9948453608247424,node_8966-to-node_8964,node_8961-to-node_8962,0.49967592484289686,5832.538451236841,assigned_arc_upstream_of_station_arc,3.0
nitrate,GB105036046400,AN-GL0158,DENSTON TRIB.NR.THURSTON END FORD,579450.0,252150.0,1.0,node_9057-to-node_9058,node_9057-to-node_9058,3.868540671086328,3.868540671086328,same_arc,0.0
