wb_id,has_catchment_polygon,catchment_outlet,config_node_count,config_node_types,land_node,river_node,groundwater_node,demand_nodes,sewer_nodes,wwtw_nodes,wwtw_spatial_objects,wwtw_identifiers,land_surface_count,land_area_km2_from_config,top_land_surfaces,unified_data_variables_land_node,unified_data_time_min,unified_data_time_max
GB105033037810,False,,7,"Demand:3, Land:1, Sewer:3",GB105033037810-land,,,3,3,0,3,"18fa0446cd, 326673b7f4, 33d3109b7b",25,115.23725717913304,"Winter Wheat: 26.94 km2; Winter Barley: 12.43 km2; Spring Barley: 8.94 km2; Trees and Scrubs, short Woody plants, hedgerows: 8.77 km2; Winter Oilseed: 7.88 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105033042700,False,,3,"Demand:1, Land:1, Sewer:1",GB105033042700-land,,,1,1,0,1,18fa0446cd,25,99.58777322736529,Winter Wheat: 30.95 km2; Winter Barley: 9.12 km2; Spring Barley: 7.31 km2; Grass: 7.17 km2; Winter Field beans: 6.37 km2,"et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105033042710,False,,5,"Demand:2, Land:1, Sewer:2",GB105033042710-land,,,2,2,0,2,"18fa0446cd, 65170954a6",24,43.6892337144115,Winter Wheat: 8.61 km2; Spring Barley: 6.23 km2; Winter Barley: 5.38 km2; Beet: 3.43 km2; Grass: 3.15 km2,"et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105033042780,False,,3,"Demand:1, Land:1, Sewer:1",GB105033042780-land,,,1,1,0,1,d1468dce1d,25,58.5310952188816,"Grass: 11.82 km2; Winter Wheat: 10.41 km2; Trees and Scrubs, short Woody plants, hedgerows: 3.90 km2; Spring Barley: 3.49 km2; Spring Field beans: 3.48 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105033042860,False,,3,"Demand:1, Land:1, Sewer:1",GB105033042860-land,,,1,1,0,1,d1468dce1d,25,66.50305271550326,"Grass: 22.86 km2; Trees and Scrubs, short Woody plants, hedgerows: 8.02 km2; Winter Wheat: 5.61 km2; Lucerne: 3.86 km2; Impervious: 3.50 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105033042920,False,,7,"Demand:3, Land:1, Sewer:3",GB105033042920-land,,,3,3,0,3,"1fa7ad67f6, a16b856046, d3d6d9b60f",22,14.988499999999998,"Winter Wheat: 3.99 km2; Spring Barley: 3.23 km2; Winter Field beans: 1.00 km2; Spring Field beans: 0.96 km2; Trees and Scrubs, short Woody plants, hedgerows: 0.95 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105033042930,False,,3,"Demand:1, Land:1, Sewer:1",GB105033042930-land,,,1,1,0,1,1fa7ad67f6,21,15.047098558999998,"Winter Wheat: 2.68 km2; Spring Barley: 2.35 km2; Spring Peas: 1.95 km2; Spring Field beans: 1.06 km2; Trees and Scrubs, short Woody plants, hedgerows: 0.98 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105033042950,False,,5,"Demand:2, Land:1, Sewer:2",GB105033042950-land,,,2,2,0,2,"1fa7ad67f6, baf8a7dc1e",25,31.934853321867447,"Trees and Scrubs, short Woody plants, hedgerows: 5.52 km2; Winter Wheat: 4.91 km2; Grass: 4.69 km2; Spring Barley: 2.45 km2; Garden: 1.93 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105033042990,False,,9,"Demand:4, Land:1, Sewer:4",GB105033042990-land,,,4,4,0,4,"24265e0a7c, c97c30f409, dc54441746, fe422aefc5",25,82.40829740026409,"Winter Wheat: 16.04 km2; Grass: 12.63 km2; Spring Barley: 8.20 km2; Trees and Scrubs, short Woody plants, hedgerows: 6.27 km2; Winter Barley: 5.14 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105033043000,False,,5,"Demand:2, Land:1, Sewer:2",GB105033043000-land,,,2,2,0,2,"baf8a7dc1e, dc54441746",24,43.142300658811585,"Winter Wheat: 7.19 km2; Maize: 4.66 km2; Spring Barley: 4.03 km2; Spring Field beans: 3.78 km2; Trees and Scrubs, short Woody plants, hedgerows: 3.39 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105033043280,False,,3,"Demand:1, Land:1, Sewer:1",GB105033043280-land,,,1,1,0,1,7c361db7d4,25,48.8961,"Winter Wheat: 9.51 km2; Spring Barley: 5.03 km2; Trees and Scrubs, short Woody plants, hedgerows: 4.23 km2; Winter Field beans: 3.18 km2; Grass: 3.15 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105035040440,False,,5,"Demand:2, Land:1, Sewer:2",GB105035040440-land,,,2,2,0,2,"3f0d58d1c4, a2369f5370",25,51.01400273701527,"Winter Wheat: 7.90 km2; Spring Barley: 6.70 km2; Trees and Scrubs, short Woody plants, hedgerows: 6.29 km2; Winter Field beans: 3.81 km2; Winter Oilseed: 3.45 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105035046080,False,,3,"Demand:1, Land:1, Sewer:1",GB105035046080-land,,,1,1,0,1,9bacadf205,20,13.104204463754856,Winter Wheat: 5.31 km2; Spring Barley: 1.41 km2; Spring Field beans: 1.00 km2; Winter Barley: 0.90 km2; Beet: 0.80 km2,"et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105036040710,True,node_7653,19,"Demand:8, Groundwater:1, Land:1, River:1, Sewer:8",GB105036040710-land,GB105036040710-river,GB105036040710-groundwater,8,8,0,8,"3ad401cb68, 49fcf5d7ee, 58ad72942f, 8031e87112, 889960b5ae, ba935fa749, c76df9f172, dd73b1497d",23,60.930000650500006,Winter Wheat: 19.43 km2; Spring Barley: 9.24 km2; Winter Field beans: 4.53 km2; Spring Field beans: 4.20 km2; Winter Barley: 4.02 km2,"et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105036040750,True,node_7509,9,"Demand:3, Groundwater:1, Land:1, River:1, Sewer:3",GB105036040750-land,GB105036040750-river,GB105036040750-groundwater,3,3,0,3,"1523cc1cbd, 9bacadf205, a2369f5370",24,21.433697353883456,Winter Wheat: 5.79 km2; Spring Barley: 3.10 km2; Winter Field beans: 2.28 km2; Grass: 1.56 km2; Winter Oilseed: 1.55 km2,"et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105036040760,True,node_7516,15,"Demand:6, Groundwater:1, Land:1, River:1, Sewer:6",GB105036040760-land,GB105036040760-river,GB105036040760-groundwater,6,6,0,6,"0fcc695cd0, 433c6507b1, 9bacadf205, c436080fe8, cbf4b7fce7, d29dfbcbc6",23,30.99198404274879,Winter Wheat: 9.42 km2; Spring Barley: 4.06 km2; Winter Field beans: 2.06 km2; Spring Field beans: 1.91 km2; Grass: 1.83 km2,"et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105036040770,True,node_7517,23,"Demand:10, Groundwater:1, Land:1, River:1, Sewer:10",GB105036040770-land,GB105036040770-river,GB105036040770-groundwater,10,10,0,10,"0fcc695cd0, 5e83970f74, 7546ee66c3, 7c361db7d4, a16b856046, d3d6d9b60f, d6e592c949, d8982b407b, e603c84476, f6014066f9",24,56.617110276710335,Winter Wheat: 11.47 km2; Spring Barley: 9.56 km2; Winter Field beans: 4.65 km2; Winter Barley: 3.99 km2; Winter Oilseed: 3.97 km2,"et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105036040890,False,,7,"Demand:3, Land:1, Sewer:3",GB105036040890-land,,,3,3,0,3,"78e2d4a66c, 7cc93d9417, f3beecdf42",24,41.676561654909314,"Trees and Scrubs, short Woody plants, hedgerows: 5.87 km2; Spring Barley: 5.11 km2; Winter Wheat: 4.92 km2; Winter Field beans: 3.97 km2; Grass: 2.44 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105036040910,True,node_8924,9,"Demand:3, Groundwater:1, Land:1, River:1, Sewer:3",GB105036040910-land,GB105036040910-river,GB105036040910-groundwater,3,3,0,3,"0f5b02e9a4, 33d3109b7b, bbbfe3d8dc",22,32.833000000000006,Winter Wheat: 10.00 km2; Spring Barley: 3.77 km2; Winter Barley: 2.87 km2; Winter Oilseed: 2.33 km2; Spring Oats: 2.09 km2,"et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105036040920,True,node_8930,17,"Demand:7, Groundwater:1, Land:1, River:1, Sewer:7",GB105036040920-land,GB105036040920-river,GB105036040920-groundwater,7,7,0,7,"0c593450d6, 4b07ce58a9, 4f57ce3a12, 543bba3641, 88d3c0197d, 9e1f04a3ac, fb6e971d1d",25,66.144791207,"Winter Wheat: 14.84 km2; Trees and Scrubs, short Woody plants, hedgerows: 5.96 km2; Winter Field beans: 5.53 km2; Spring Barley: 5.53 km2; Grass: 4.94 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105036040930,True,node_7518,29,"Demand:13, Groundwater:1, Land:1, River:1, Sewer:13",GB105036040930-land,GB105036040930-river,GB105036040930-groundwater,13,13,0,13,"0c593450d6, 0fcc695cd0, 3f0d58d1c4, 4051ff4c86, 45203a76bc, 543bba3641, 65b0cfa103, 78e2d4a66c, 9bacadf205, a2369f5370, db6be7161a, e1c0524dab, f4931ceb36",24,85.81179209809638,"Winter Wheat: 16.23 km2; Grass: 9.60 km2; Spring Barley: 8.35 km2; Trees and Scrubs, short Woody plants, hedgerows: 8.01 km2; Winter Field beans: 6.06 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105036040941,True,node_8952,33,"Demand:15, Groundwater:1, Land:1, River:1, Sewer:15",GB105036040941-land,GB105036040941-river,GB105036040941-groundwater,15,15,0,15,"0f5b02e9a4, 3ad401cb68, 4376353259, 4ee034eb9c, 4f57ce3a12, 58ad72942f, 5ab7e1e21f, 6754e18297, 889960b5ae, 92bb93ec99, 9c95fafaaf, a3d522236c, bf1b84e33a, e367fd8530, e37f8e1fff",25,111.65889999999997,"Winter Wheat: 25.83 km2; Spring Barley: 13.73 km2; Trees and Scrubs, short Woody plants, hedgerows: 10.07 km2; Winter Field beans: 8.44 km2; Grass: 7.49 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105036040942,True,node_8943,23,"Demand:10, Groundwater:1, Land:1, River:1, Sewer:10",GB105036040942-land,GB105036040942-river,GB105036040942-groundwater,10,10,0,10,"002b4939d1, 07748a6c0a, 0c7c4fa013, 4b07ce58a9, 543bba3641, 6fb851905e, 8b39f6a599, 9ba0de3ceb, 9e1f04a3ac, b944d274fc",25,90.21880508850002,"Grass: 12.89 km2; Winter Wheat: 11.23 km2; Trees and Scrubs, short Woody plants, hedgerows: 10.42 km2; Spring Barley: 6.51 km2; Spring Field beans: 5.93 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
GB105036040950,True,node_8951,13,"Demand:5, Groundwater:1, Land:1, River:1, Sewer:5",GB105036040950-land,GB105036040950-river,GB105036040950-groundwater,5,5,0,5,"0f5b02e9a4, 326673b7f4, 33d3109b7b, adabfffea1, c7f93f4b4a",24,35.7276,"Winter Oilseed: 6.75 km2; Trees and Scrubs, short Woody plants, hedgerows: 4.15 km2; Winter Wheat: 3.68 km2; Spring Barley: 2.77 km2; Impervious: 2.62 km2","et0, nhx-dry, nhx-fertiliser, nhx-manure, nhx-wet, noy-dry, noy-fertiliser, noy-manure, noy-wet, precipitation, srp-dry, srp-fertiliser, srp-manure, srp-wet, temperature",2000-01-01,2023-12-31
