arc,type_,in_port,out_port
002b4939d1-GB105036040942-demand-to-002b4939d1-GB105036040942-foul,Arc,002b4939d1-GB105036040942-demand,002b4939d1-GB105036040942-foul
07748a6c0a-GB105036040942-demand-to-07748a6c0a-GB105036040942-foul,Arc,07748a6c0a-GB105036040942-demand,07748a6c0a-GB105036040942-foul
0c593450d6-GB105036040920-demand-to-0c593450d6-GB105036040920-foul,Arc,0c593450d6-GB105036040920-demand,0c593450d6-GB105036040920-foul
0c593450d6-GB105036040930-demand-to-0c593450d6-GB105036040930-foul,Arc,0c593450d6-GB105036040930-demand,0c593450d6-GB105036040930-foul
0c7c4fa013-GB105036040942-demand-to-0c7c4fa013-GB105036040942-foul,Arc,0c7c4fa013-GB105036040942-demand,0c7c4fa013-GB105036040942-foul
0f5b02e9a4-GB105036040910-demand-to-0f5b02e9a4-GB105036040910-foul,Arc,0f5b02e9a4-GB105036040910-demand,0f5b02e9a4-GB105036040910-foul
0f5b02e9a4-GB105036040941-demand-to-0f5b02e9a4-GB105036040941-foul,Arc,0f5b02e9a4-GB105036040941-demand,0f5b02e9a4-GB105036040941-foul
0f5b02e9a4-GB105036040950-demand-to-0f5b02e9a4-GB105036040950-foul,Arc,0f5b02e9a4-GB105036040950-demand,0f5b02e9a4-GB105036040950-foul
0f5b02e9a4-GB105037041290-demand-to-0f5b02e9a4-GB105037041290-foul,Arc,0f5b02e9a4-GB105037041290-demand,0f5b02e9a4-GB105037041290-foul
0fcc695cd0-GB105036040760-demand-to-0fcc695cd0-GB105036040760-foul,Arc,0fcc695cd0-GB105036040760-demand,0fcc695cd0-GB105036040760-foul
0fcc695cd0-GB105036040770-demand-to-0fcc695cd0-GB105036040770-foul,Arc,0fcc695cd0-GB105036040770-demand,0fcc695cd0-GB105036040770-foul
0fcc695cd0-GB105036040930-demand-to-0fcc695cd0-GB105036040930-foul,Arc,0fcc695cd0-GB105036040930-demand,0fcc695cd0-GB105036040930-foul
0fd15c681f-GB105036040960-demand-to-0fd15c681f-GB105036040960-foul,Arc,0fd15c681f-GB105036040960-demand,0fd15c681f-GB105036040960-foul
113ae1bc7a-GB105036040970-demand-to-113ae1bc7a-GB105036040970-foul,Arc,113ae1bc7a-GB105036040970-demand,113ae1bc7a-GB105036040970-foul
1523cc1cbd-GB105036040750-demand-to-1523cc1cbd-GB105036040750-foul,Arc,1523cc1cbd-GB105036040750-demand,1523cc1cbd-GB105036040750-foul
18fa0446cd-GB105033037810-demand-to-18fa0446cd-GB105033037810-foul,Arc,18fa0446cd-GB105033037810-demand,18fa0446cd-GB105033037810-foul
18fa0446cd-GB105033042700-demand-to-18fa0446cd-GB105033042700-foul,Arc,18fa0446cd-GB105033042700-demand,18fa0446cd-GB105033042700-foul
18fa0446cd-GB105033042710-demand-to-18fa0446cd-GB105033042710-foul,Arc,18fa0446cd-GB105033042710-demand,18fa0446cd-GB105033042710-foul
18fa0446cd-GB105036040980-demand-to-18fa0446cd-GB105036040980-foul,Arc,18fa0446cd-GB105036040980-demand,18fa0446cd-GB105036040980-foul
1fa7ad67f6-GB105033042920-demand-to-1fa7ad67f6-GB105033042920-foul,Arc,1fa7ad67f6-GB105033042920-demand,1fa7ad67f6-GB105033042920-foul
1fa7ad67f6-GB105033042930-demand-to-1fa7ad67f6-GB105033042930-foul,Arc,1fa7ad67f6-GB105033042930-demand,1fa7ad67f6-GB105033042930-foul
