catchment_id,outfall_arc
GB102076070940,node_2212-to-node_1951
GB103022076790,node_594-to-node_595
GB103022077052,node_1999-to-node_113
GB103023075670,node_776-to-node_777
GB103023075780,node_352-to-node_353
GB103024072711,node_645-to-node_646
GB103024077430,node_1266-to-node_1267
GB103024077552,node_827-to-node_828
GB103024077570,node_1375-to-node_1370
GB103025071880,node_1447-to-node_1448
GB103025072430,node_2778-to-node_1638
GB103025076080,node_2776-to-node_2723
GB104026066660,node_3027-to-node_3018
GB104027057301,node_2908-to-node_2851
GB104027057440,node_2790-to-node_2788
GB104027057710,node_2854-to-node_3350
GB104027062550,node_5161-to-node_5160
GB104027062680,node_5269-to-node_5270
GB104027062710,node_4864-to-node_4861
GB104027062891,node_5290-to-node_5287
GB104027062960,node_3357-to-node_2876
GB104027063173,node_3260-to-node_3259
GB104027063301,node_3326-to-node_3327
GB104027063330,node_5831-to-node_5829
GB104027063460,node_4154-to-node_4151
GB104027063742,node_3863-to-node_3756
GB104027063790,node_4610-to-node_3905
GB104027064120,node_2094-to-node_2091
GB104027064140,node_5231-to-node_2098
GB104027064190,node_4145-to-node_4146
GB104027068260,node_5017-to-node_5014
GB104027068294,node_5044-to-node_5218
GB104027068440,node_2586-to-node_2587
GB104027068470,node_2476-to-node_2477
GB104027068780,node_4183-to-node_4184
GB104027069260,node_5232-to-node_5230
GB104027069350,node_3452-to-node_3453
GB104027069530,node_4333-to-node_4334
GB104028042420,node_3377-to-node_3378
GB104028046841,node_3387-to-node_3388
GB104028047220,node_4298-to-node_3162
GB104028052480,node_3024-to-node_3025
GB104028052700,node_4919-to-node_4915
GB104028052891,node_4126-to-node_4124
GB104028052900,node_4131-to-node_4128
GB104028052960,node_4266-to-node_4265
GB104028053010,node_3831-to-node_3832
GB104028053301,node_3052-to-node_3053
GB104028053370,node_3427-to-node_3425
GB104028053460,node_2688-to-node_2689
GB104028057780,node_2695-to-node_2696
GB104028058100,node_7938-to-node_6812
GB104028058130,node_7161-to-node_7162
GB104028058140,node_7169-to-node_7163
GB104029061850,node_6250-to-node_6251
GB104029061870,node_7764-to-node_6255
GB104029062100,node_7793-to-node_20483
GB105030051570,node_6507-to-node_6508
GB105030051590,node_6599-to-node_6600
GB105030056750,node_7027-to-node_7028
GB105030056770,node_6852-to-node_6833
GB105030056780,node_6830-to-node_6509
GB105030062220,node_7799-to-node_5986
GB105030062415,node_8085-to-node_8086
GB105031045600,node_8141-to-node_8142
GB105031050440,node_6683-to-node_6681
GB105031050480,node_2388-to-node_2389
GB105031050500,node_6912-to-node_6908
GB105031050720,node_6110-to-node_6111
GB105031055510,node_7281-to-node_7282
GB105032045230,node_8498-to-node_8499
GB105032045340,node_6690-to-node_6691
GB105032050290,node_6623-to-node_6621
GB105033030520,node_6114-to-node_3554
GB105033037590,node_7024-to-node_7025
GB105033037610,node_14355-to-node_7307
GB105033037680,node_5518-to-node_5519
GB105033037700,node_6281-to-node_5520
GB105033037810,node_6238-to-node_6239
GB105033037830,node_6246-to-node_5502
GB105033037930,node_14086-to-node_14087
GB105033038020,node_14286-to-node_14287
GB105033038080,node_14346-to-node_14347
GB105033038170,node_6290-to-node_6285
GB105033042700,node_7412-to-node_7411
GB105033042710,node_7417-to-node_7418
GB105033043020,node_6946-to-node_6947
GB105033043070,node_6337-to-node_6204
GB105033043100,node_6208-to-node_6209
GB105033043190,node_6485-to-node_6320
GB105033043270,node_7329-to-node_6327
GB105033047620,node_6513-to-node_6514
GB105033047880,node_11151-to-node_8410
GB105033047923,node_14145-to-node_10700
GB105034051000,node_10980-to-node_10981
GB105034051230,node_8781-to-node_8782
GB105034055750,node_3685-to-node_3686
GB105035046060,node_8637-to-node_8638
GB105036040710,node_7653-to-node_7654
GB105036040770,node_7517-to-node_7518
GB105036040910,node_8924-to-node_8925
GB105036040920,node_8930-to-node_8931
GB105036040930,node_7518-to-node_7514
GB105036040941,node_8952-to-node_8949
GB105036040950,node_8951-to-node_8952
GB105036040970,node_9058-to-node_8960
GB105036040980,node_8966-to-node_8964
GB105036040990,node_9054-to-node_9050
GB105037028550,node_9117-to-node_3622
GB105037028741,node_12867-to-node_12868
GB105037033840,node_12949-to-node_12946
GB105037033890,node_11805-to-node_9123
GB105037033900,node_12177-to-node_12178
GB105037033940,node_12796-to-node_12795
GB105037033950,node_12366-to-node_12367
GB105037041140,node_13112-to-node_13110
GB105037041260,node_12379-to-node_12374
GB105037041330,node_12375-to-node_12154
GB105037077810,node_12426-to-node_12427
GB106037028100,node_12261-to-node_12266
GB106037028130,node_12267-to-node_12268
GB106037028181,node_9684-to-node_8047
GB106037028200,node_12430-to-node_9686
GB106037033481,node_9869-to-node_9873
GB106037033500,node_9879-to-node_9877
GB106038027940,node_11664-to-node_11665
GB106038027960,node_8117-to-node_8118
GB106038033180,node_10681-to-node_10677
GB106038033190,node_10682-to-node_10683
GB106038033240,node_11820-to-node_11779
GB106038033270,node_12904-to-node_11819
GB106038033290,node_12910-to-node_12097
GB106038033310,node_12913-to-node_12104
GB106038033360,node_12753-to-node_12118
GB106038033380,node_12125-to-node_12124
GB106038033392,node_12129-to-node_12130
GB106038033410,node_12901-to-node_12902
GB106038033460,node_12903-to-node_12904
GB106038040090,node_12905-to-node_12906
GB106038040120,node_12748-to-node_12749
GB106039017020,node_5388-to-node_5386
GB106039017170,node_11855-to-node_11340
GB106039017320,node_12408-to-node_12397
GB106039017330,node_11864-to-node_11865
GB106039017340,node_12403-to-node_12392
GB106039017440,node_11594-to-node_11595
GB106039017500,node_11618-to-node_11599
GB106039017630,node_14823-to-node_14824
GB106039017730,node_14694-to-node_14695
GB106039017800,node_14619-to-node_14620
GB106039017810,node_14642-to-node_14643
GB106039017840,node_14822-to-node_14821
GB106039022940,node_5533-to-node_5534
GB106039022960,node_7531-to-node_5539
GB106039022970,node_5545-to-node_5542
GB106039022980,node_5547-to-node_5548
GB106039023030,node_6135-to-node_6136
GB106039023160,node_12439-to-node_7079
GB106039023171,node_7086-to-node_7087
GB106039023180,node_7756-to-node_7757
GB106039023200,node_7765-to-node_7766
GB106039023210,node_7789-to-node_7790
GB106039023250,node_7339-to-node_7340
GB106039023280,node_6661-to-node_6662
GB106039023290,node_6878-to-node_6879
GB106039023300,node_6887-to-node_6882
GB106039023330,node_6890-to-node_6891
GB106039023350,node_6904-to-node_6905
GB106039023590,node_5543-to-node_5544
GB106039023600,node_10853-to-node_10854
GB106039023610,node_10643-to-node_10644
GB106039023730,node_5530-to-node_5531
GB106039023860,node_9991-to-node_9992
GB106039023880,node_9998-to-node_9994
GB106039023890,node_9997-to-node_9998
