catchment_id,outfall_arc,PB,RMSE,NSE,KGE,R2
GB106039029830,node_9699-to-node_9700,-864.6930301,1.26861629,-171.5257806,-9.071363285,0.421672894
GB106039023290,node_6878-to-node_6879,-1611.155052,2.182648198,-135.6495983,-15.13646075,0.638454015
GB106039017800,node_14619-to-node_14620,-735.3279662,0.645833528,-62.16716423,-7.937720346,0.630677318
GB106039017730,node_14694-to-node_14695,-1035.353463,1.138961331,-45.22503549,-10.12305124,0.656934853
GB103023075780,node_352-to-node_353,-1470.731394,1.146429783,-37.64550321,-13.77641437,0.430543093
GB104028057780,node_2695-to-node_2696,-470.8060027,1.516501167,-25.94947055,-4.216334788,0.344440061
GB108044010120,node_10916-to-node_10917,-463.8348841,1.015253676,-22.58994773,-4.412090452,0.616216837
GB108044009800,node_8102-to-node_8103,-204.65793,0.561350491,-18.31759081,-2.423613619,0.790675631
GB105033037680,node_5518-to-node_5519,-333.3698125,0.100387685,-10.19507519,-2.559801934,0.292598201
GB106039023600,node_10853-to-node_10854,-82.11315315,0.193681531,-9.46520307,-1.603756888,0.485837311
GB106038033460,node_12903-to-node_12904,-77.43629713,0.140525931,-7.740889229,-1.383189455,0.437486384
GB110065054010,node_17216-to-node_17217,-418.5100375,6.207261338,-6.943158097,-3.212567554,0.351154437
GB106038033410,node_12901-to-node_12902,-547.2840341,0.512403455,-6.360653513,-4.494985002,0.480143225
GB104027064190,node_4145-to-node_4146,-308.7677716,0.670118176,-6.299863615,-2.194296197,0.409186747
GB106039029900,node_9510-to-node_9511,-114.6021952,0.272815492,-5.628361023,-0.976537782,0.49636823
GB106039029920,node_9527-to-node_9525,-87.91045564,0.710010564,-5.004133013,-0.854633716,0.492477112
GB106040024222,node_11564-to-node_11415,-149.0847833,1.537042922,-4.961626579,-1.129793606,0.705396607
GB107042022610,node_10578-to-node_10579,68.7510139,1.21816524,-4.513309445,0.288919334,0.68305078
GB106039023890,node_9997-to-node_9998,-110.7752545,0.458783668,-4.158244893,-0.738416405,0.369412888
GB106038027940,node_11664-to-node_11665,-278.3111122,1.057435131,-3.460257448,-1.793702452,0.6640742
GB106039029870,node_9502-to-node_9501,-60.44944045,0.515229222,-3.296188587,-0.462814613,0.487026579
GB108044009700,node_11275-to-node_11276,-103.0866673,0.303538542,-2.768376633,-0.534836386,0.758896388
GB106038033270,node_12904-to-node_11819,-19.1610451,0.41843724,-2.337696921,-0.486371107,0.624866022
GB106039023880,node_9998-to-node_9994,21.49598055,0.569504998,-2.193235682,-0.23307858,0.450184467
GB106039023250,node_7339-to-node_7340,-146.0451548,0.499776913,-2.015545967,-0.695548706,0.656140462
GB109054044790,node_19189-to-node_19190,-205.1240367,1.327646899,-1.988187353,-1.08714427,0.395094776
GB107040073310,node_11094-to-node_11095,-42.21337138,0.467136221,-1.987631327,-0.235869631,0.513389584
GB106039023610,node_10643-to-node_10644,-25.8386977,0.050547805,-1.626021347,-0.09466844,0.382677323
GB105033047880,node_11151-to-node_8410,91.54244973,2.457356694,-1.441328994,-0.314785053,0.446746908
GB107101006250,node_9209-to-node_9210,-132.4471983,0.205745179,-1.321322842,-0.430273159,0.705194423
GB106040024150,node_11559-to-node_11560,-117.6944449,0.644546367,-1.241783235,-0.266708455,0.433851862
GB106039023210,node_7789-to-node_7790,-55.10820762,0.225744207,-1.073880133,-0.06265315,0.584088019
GB106040018210,node_8523-to-node_8524,-110.431026,0.32834542,-0.996004804,-0.277237151,0.52649103
GB106039017330,node_11864-to-node_11865,83.76151863,2.495222998,-0.934711018,-0.176878956,0.56426767
GB109054050141,node_15323-to-node_15331,82.24089007,0.6248422,-0.896661617,-0.185761605,0.417321481
GB105033038170,node_6290-to-node_6285,86.13104189,3.415722732,-0.859773535,-0.266337261,0.401946421
GB106039017840,node_14822-to-node_14821,-15.61952433,0.326701307,-0.856887907,-0.016948076,0.654711489
GB105032050290,node_6623-to-node_6621,81.03044422,0.881882406,-0.84688885,-0.14449046,0.360737613
GB109056032980,node_20076-to-node_20077,94.02858978,2.908941758,-0.786132177,-0.368757837,0.535351575
GB106039017630,node_14823-to-node_14824,84.07013239,9.259536517,-0.742924415,-0.225327823,0.582322795
GB112069061420,node_16758-to-node_16757,89.48137527,4.451135368,-0.664820763,-0.339061941,0.395805319
GB107042016370,node_8159-to-node_8160,-162.101978,0.430627474,-0.618315279,-0.684559373,0.617827553
GB105033038080,node_14346-to-node_14347,65.5192956,0.070829446,-0.615595379,0.054062861,0.229343049
GB106040018560,node_12993-to-node_12994,-114.3157028,0.21101366,-0.605900309,-0.253964323,0.253461556
GB104028058130,node_7161-to-node_7162,53.18261782,0.192866125,-0.58871425,0.433639745,0.649246269
GB105033042710,node_7417-to-node_7418,54.04619466,0.097011155,-0.583465749,0.319432893,0.365010242
GB106039023350,node_6904-to-node_6905,-15.87515522,0.101160915,-0.542124179,0.254737657,0.457888259
GB105033038020,node_14286-to-node_14287,68.57849855,0.137824933,-0.528654505,-0.136512887,0.242739732
GB109054055090,node_14245-to-node_14246,84.20707992,2.178440087,-0.506778623,-0.262314474,0.345908061
