catchment_id,outfall_arc
GB102021072830,node_1540-to-node_1541
GB102021072840,node_1777-to-node_1778
GB102021072860,node_1779-to-node_1780
GB102021072960,node_1613-to-node_1614
GB102021072970,node_1629-to-node_1630
GB102021072980,node_1632-to-node_1633
GB102021072990,node_1643-to-node_1644
GB102021073010,node_1646-to-node_1647
GB102021073060,node_384-to-node_385
GB102021073070,node_388-to-node_389
GB102075073390,node_394-to-node_395
GB102075073410,node_399-to-node_400
GB102075073440,node_45-to-node_44
GB102075073470,node_58-to-node_59
GB102075073480,node_63-to-node_70
GB102076070560,node_77-to-node_78
GB102076070580,node_157-to-node_158
GB102076070590,node_164-to-node_160
GB102076070600,node_179-to-node_180
GB102076070610,node_183-to-node_184
GB102076070630,node_222-to-node_223
GB102076070640,node_225-to-node_226
GB102076070660,node_265-to-node_266
GB102076070680,node_432-to-node_433
GB102076070720,node_282-to-node_281
GB102076070730,node_293-to-node_294
GB102076070740,node_298-to-node_297
GB102076070750,node_304-to-node_305
GB102076070770,node_319-to-node_318
GB102076070790,node_320-to-node_321
GB102076070820,node_223-to-node_224
GB102076070830,node_2051-to-node_2052
GB102076070890,node_1949-to-node_1948
GB102076070940,node_2212-to-node_1951
GB102076070950,node_2115-to-node_2116
GB102076071000,node_2333-to-node_2332
GB102076071020,node_302-to-node_221
GB102076071021,node_2391-to-node_2392
GB102076073720,node_152-to-node_153
GB102076073730,node_154-to-node_155
GB102076073750,node_1983-to-node_1984
GB102076073760,node_1988-to-node_1989
GB102076073780,node_2111-to-node_2112
GB102076073850,node_448-to-node_449
GB102076073870,node_1393-to-node_1394
GB102076073950,node_1528-to-node_1529
GB102076073970,node_1539-to-node_1536
GB102076073991,node_2465-to-node_2455
GB102076073992,node_2461-to-node_2462
GB102076074000,node_2231-to-node_2232
GB102076074030,node_2460-to-node_2235
GB102076074080,node_2571-to-node_2568
GB102077074150,node_4-to-node_0
GB102077074260,node_441-to-node_442
GB102077074280,node_1733-to-node_1730
GB102077074290,node_1734-to-node_1735
GB103021073222,node_1741-to-node_1742
GB103021073230,node_1833-to-node_1834
GB103022076190,node_1868-to-node_1869
GB103022076220,node_1885-to-node_1886
GB103022076230,node_1890-to-node_1889
GB103022076250,node_1772-to-node_1773
GB103022076260,node_1775-to-node_1776
GB103022076270,node_1836-to-node_1837
GB103022076280,node_1838-to-node_1839
GB103022076370,node_1876-to-node_1877
GB103022076390,node_959-to-node_960
GB103022076400,node_2042-to-node_2043
GB103022076411,node_973-to-node_1897
GB103022076460,node_1898-to-node_1899
GB103022076470,node_1901-to-node_1902
GB103022076480,node_1908-to-node_1905
GB103022076490,node_2045-to-node_2046
GB103022076500,node_2048-to-node_2049
GB103022076510,node_454-to-node_451
GB103022076521,node_458-to-node_459
GB103022076540,node_463-to-node_464
GB103022076550,node_1353-to-node_1352
GB103022076560,node_1363-to-node_1364
GB103022076590,node_1366-to-node_1367
GB103022076640,node_1909-to-node_1910
GB103022076650,node_1912-to-node_1913
GB103022076680,node_1995-to-node_1996
GB103022076691,node_593-to-node_514
GB103022076692,node_515-to-node_516
GB103022076710,node_536-to-node_537
GB103022076720,node_538-to-node_539
GB103022076780,node_592-to-node_593
GB103022076790,node_594-to-node_595
GB103022076820,node_600-to-node_597
GB103022076830,node_601-to-node_602
GB103022076840,node_415-to-node_101
GB103022076850,node_412-to-node_413
GB103022076870,node_96-to-node_97
GB103022076880,node_99-to-node_100
GB103022076890,node_106-to-node_103
GB103022076900,node_107-to-node_108
GB103022076911,node_111-to-node_348
