catchment_id,outfall_arc,PB,RMSE,NSE,KGE,R2
GB103022076650,node_1912-to-node_1913,-37.16481048,0.178314616,-4.13E+31,-5.86396E+15,3.38E-33
GB104027069050,node_4799-to-node_4800,-47.0847677,0.176744907,-4.06E+31,-5.43092E+15,1.66E-32
GB103025076050,node_2775-to-node_2776,-119.9236598,0.327592127,-3.48E+31,-4.1106E+15,6.13E-31
GB106039017870,node_6020-to-node_6021,-14.91324155,0.128224483,-2.13E+31,-4.49814E+15,7.65E-32
GB103023075430,node_987-to-node_988,-217.5154902,0.56522491,-62071.09893,-161.4309077,0.012088164
GB108047003650,node_11471-to-node_11470,-102.9420856,0.334120456,-47157.04319,-171.2584354,0.0540544
GB103025072340,node_1116-to-node_1117,-44.01512244,0.175303903,-5702.944947,-63.71140912,0.000635662
GB103024077270,node_824-to-node_825,-519.7014784,1.140358723,-2256.670168,-4.980047988,1
GB106039017040,node_13043-to-node_13044,-1196.44551,5.113396994,-721.634679,-14.15638362,0.054407727
GB112071065310,node_16425-to-node_16426,-508.5727105,7.030934425,-705.5241352,-11.12722002,0.063982574
GB104026067101,node_1277-to-node_1275,93.75905099,11.49861626,-704.1636048,-0.453837484,0.005323242
GB112072071780,node_15432-to-node_15433,-1963.584804,0.322668791,-682.6378505,-19.72167866,0.006597545
GB112069061280,node_14260-to-node_14261,-651.5122308,9.563444474,-614.1359779,-9.929595027,0.002764908
GB103023075780,node_352-to-node_353,-960.8363382,17.45133498,-515.2772509,-9.939067848,0.024188263
GB103024077640,node_1432-to-node_1433,-1185.475298,17.07550519,-495.2764987,-12.12711318,4.97E-05
GB104027062900,node_5559-to-node_5560,-436.7141899,14.55153209,-454.4028256,-6.572948264,0.039794096
GB108043015780,node_8748-to-node_8749,93.84973719,9.033012247,-450.5512465,-0.404231196,0.000238267
GB104028042510,node_3379-to-node_3384,-559.4038672,17.11142031,-400.439281,-6.11156339,0.038220196
GB106039023290,node_6878-to-node_6879,-440.9770126,16.61577575,-385.8277237,-5.149953962,0.100658619
GB105033038120,node_14358-to-node_14359,98.49820988,13.75887704,-376.9834224,-0.475850104,0.020192819
GB108044009570,node_9270-to-node_9271,-388.8830774,11.4128247,-339.0744625,-4.808956725,0.13187058
GB106039023070,node_6146-to-node_6147,-499.8453142,17.17917561,-305.5958842,-5.144358107,0.085893573
GB108043016190,node_10227-to-node_10228,91.38073665,8.232851309,-304.8022129,-0.298657206,0.011880868
GB106039023550,node_10815-to-node_6821,-416.6590501,14.44692872,-291.4067787,-5.862193692,0.00046627
GB106040024210,node_11558-to-node_11559,-351.0804917,15.53158909,-241.2390724,-3.953366218,0.133466504
GB107042016620,node_6410-to-node_6406,-343.5773168,10.31615365,-233.3416956,-5.912043002,0.096992975
GB104027057760,node_4953-to-node_4954,-634.1966167,15.92699695,-228.8327227,-6.139610905,0.024772177
GB106040024150,node_11559-to-node_11560,-418.3257991,16.29959438,-228.8232823,-4.416938247,0.172355211
GB107042022700,node_9864-to-node_9865,90.43164377,5.94758863,-227.7633927,-0.562767298,0.052975901
GB106039023331,node_6898-to-node_6899,-524.4793786,17.11957546,-217.0868202,-5.403660832,0.299474273
GB103022076680,node_1995-to-node_1996,-172.6696603,0.444739668,-215.0716822,-7.509211543,0.024288233
GB107042016670,node_6429-to-node_6428,92.70424176,6.54456828,-205.1849752,-0.431949251,0.003129551
GB112069060690,node_13966-to-node_16616,-416.6750406,11.83999252,-200.1861227,-5.291409909,0.000963983
GB106037028170,node_11586-to-node_11587,-718.1391496,18.35164281,-196.3143618,-6.462784679,0.350326346
GB105034055750,node_3685-to-node_3686,94.39773876,12.05275655,-195.3606525,-0.518314149,0.007021134
GB106039023180,node_7756-to-node_7757,91.18946751,7.295800008,-178.5388523,-0.356566941,0.00020264
GB103024077480,node_1181-to-node_1182,-142.9630761,0.413347487,-178.4550318,-7.068468576,0.032644423
GB107042022770,node_10655-to-node_10652,93.49500078,7.830360901,-176.8430078,-0.47501836,0.005692261
GB104027068100,node_5873-to-node_5874,-419.7663119,3.785801696,-170.9532758,-8.622683536,0.001444845
GB108044009630,node_9295-to-node_9296,89.84003222,7.58061978,-166.7616671,-0.323987118,0.002106033
GB106039037440,node_9836-to-node_9837,91.09409852,9.27139025,-165.7877951,-0.5715966,0.059765569
GB107042016370,node_8159-to-node_8160,-525.785906,14.54301777,-157.9430168,-5.148861826,0.007812982
GB112070061600,node_14760-to-node_14761,-553.0318418,12.99173576,-157.8750066,-4.884692316,0.01153734
GB103023075690,node_779-to-node_780,-538.9024869,13.23307165,-155.8468977,-5.246147364,0.01244003
GB107040019720,node_11308-to-node_11309,93.85759726,8.482421934,-150.7199054,-0.33522444,0.036187966
GB104027069110,node_5063-to-node_5060,-1529.715481,0.356771303,-149.1045165,-14.40908938,0.727792278
GB112069061270,node_14259-to-node_14256,-348.2976561,4.426268694,-145.3214438,-4.900577402,0.126944038
GB106039017430,node_11592-to-node_11593,94.55695184,5.722050695,-142.9862743,-0.580826613,0.021489214
GB103024077370,node_1250-to-node_1251,-151.9412575,0.431623868,-137.2934959,-6.219524818,0.011338288
GB104027068201,node_3495-to-node_3496,96.56625799,7.689211719,-136.7431537,-0.469977725,0.034623584
GB106039023171,node_7086-to-node_7087,87.20609385,6.277525719,-135.4893135,-0.410795388,0.01184313
GB108047004070,node_13168-to-node_13169,92.00617264,3.072810318,-130.5166363,-0.454788867,0.000344611
GB108043015760,node_9428-to-node_9429,94.82740043,12.22263057,-126.740123,-0.621058355,0.010793947
GB107041006650,node_13162-to-node_13163,-777.6231981,8.605389865,-122.9315846,-7.641284607,0.100905777
GB108046004760,node_13338-to-node_13339,97.4578994,9.618480789,-119.2862871,-0.705137595,0.007153114
GB104027067870,node_2898-to-node_2899,93.8705648,9.023666068,-118.7786102,-0.539632653,0.003330362
GB108045009000,node_12529-to-node_12530,97.8910756,8.227078579,-115.5602382,-0.799748227,0.055195605
GB106039029830,node_9699-to-node_9700,-148.1173451,8.138600539,-115.5050297,-4.107358505,0.000640432
GB108043015830,node_10860-to-node_8084,90.03827029,6.116425252,-111.7235486,-0.369350082,0.000522405
GB107042022790,node_10665-to-node_10662,95.55770465,8.166295247,-111.2538965,-0.459033735,0.021928848
GB103025071940,node_1473-to-node_1474,88.76206647,5.616158997,-109.9511054,-0.648189541,0.045395569
GB104027057773,node_4972-to-node_4973,-333.7834884,12.5207784,-107.2101212,-3.54412566,0.003823946
GB107042022720,node_9867-to-node_9868,92.89785496,6.502356947,-104.079629,-0.298948549,0.074219087
GB108043016070,node_10015-to-node_10016,94.63136881,9.936058722,-103.8001246,-0.417446178,0.031300089
GB108048001400,node_1859-to-node_1858,93.69391614,3.706823965,-103.2947523,-0.420656907,0.054728573
GB103023074680,node_2016-to-node_2017,-200.8650625,0.513932524,-102.9731802,-5.586594694,0.005420346
GB106039017100,node_11341-to-node_11342,91.9516617,5.735740239,-101.8678059,-0.347303279,0.019773578
GB104028042550,node_3380-to-node_3381,-341.582766,14.85857902,-101.8602204,-3.237276419,0.00109841
GB107040019590,node_11032-to-node_11033,85.05016487,5.432074166,-99.46450387,-0.303475386,0.000461762
GB108048001160,node_7974-to-node_7971,94.53537241,4.67900513,-96.6315436,-0.707122648,0.070578112
GB108044010060,node_10782-to-node_10781,95.62831647,9.242521613,-95.54179926,-0.307538575,0.243500281
GB105033047680,node_8422-to-node_8423,66.02978432,9.180769239,-93.8223393,-0.30587621,0.178049856
GB103023075261,node_1040-to-node_891,-58.81783729,0.190547077,-93.42549817,-5.603895131,0.000813272
GB104028042490,node_5616-to-node_5617,-282.1684863,8.108436752,-88.2982462,-3.616855548,0.124693142
GB103024077380,node_1254-to-node_1255,-169.9930302,0.493911733,-87.21328197,-4.855902997,0.014178951
GB104026066980,node_2882-to-node_2883,91.86919957,7.913501149,-85.22070786,-0.298033191,0.019523345
GB107042016310,node_8144-to-node_8145,-253.2406796,5.839340289,-82.04120558,-4.134871304,9.45E-05
GB105035040290,node_11096-to-node_11097,97.19291559,20.1821199,-81.27582206,-0.590848749,0.002654292
GB108047007710,node_13186-to-node_13187,75.56640612,1.499715999,-80.22202153,-0.00637714,0.179801797
GB106038033410,node_12901-to-node_12902,-290.6065684,14.57522899,-79.03111007,-2.878133076,0.144954606
