wb_id,wfd_area_m2,soilscapes_covered_area_m2,soilscapes_blanket_bog_peat_soils_fraction,soilscapes_fen_peat_soils_fraction,soilscapes_freely_draining_acid_loamy_soils_over_rock_fraction,soilscapes_freely_draining_floodplain_soils_fraction,soilscapes_freely_draining_lime_rich_loamy_soils_fraction,soilscapes_freely_draining_sandy_breckland_soils_fraction,soilscapes_freely_draining_slightly_acid_but_base_rich_soils_fraction,soilscapes_freely_draining_slightly_acid_loamy_soils_fraction,soilscapes_freely_draining_slightly_acid_sandy_soils_fraction,soilscapes_freely_draining_very_acid_sandy_and_loamy_soils_fraction,soilscapes_lime_rich_loamy_and_clayey_soils_with_impeded_drainage_fraction,soilscapes_loamy_and_clayey_floodplain_soils_with_naturally_high_groundwater_fraction,soilscapes_loamy_and_clayey_soils_of_coastal_flats_with_naturally_high_groundwater_fraction,soilscapes_loamy_and_sandy_soils_with_naturally_high_groundwater_and_a_peaty_surface_fraction,soilscapes_loamy_soils_with_naturally_high_groundwater_fraction,soilscapes_naturally_wet_very_acid_sandy_and_loamy_soils_fraction,soilscapes_raised_bog_peat_soils_fraction,soilscapes_restored_soils_mostly_from_quarry_and_opencast_spoil_fraction,soilscapes_saltmarsh_soils_fraction,soilscapes_sand_dune_soils_fraction,soilscapes_shallow_lime_rich_soils_over_chalk_or_limestone_fraction,soilscapes_shallow_very_acid_peaty_soils_over_rock_fraction,soilscapes_slightly_acid_loamy_and_clayey_soils_with_impeded_drainage_fraction,soilscapes_slowly_permeable_seasonally_wet_acid_loamy_and_clayey_soils_fraction,soilscapes_slowly_permeable_seasonally_wet_slightly_acid_but_base_rich_loamy_and_clayey_soils_fraction,soilscapes_slowly_permeable_wet_very_acid_upland_soils_with_a_peaty_surface_fraction,soilscapes_very_acid_loamy_upland_soils_with_a_wet_peaty_surface_fraction,soilscapes_unclassified_fraction,soilscapes_water_fraction,soilscapes_dominant_class,soilscapes_dominant_url,soilscapes_coverage_share
GB108049006910,4904629.584137211,4904337.965884267,0.0,0.0,0.8118115297238903,0.0,0.0,0.0,1.2901740227404279e-06,0.0,0.0,0.0,0.0,0.14639011480139363,0.0,0.0,0.041797065300693256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Freely draining acid loamy soils over rock,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=13,0.9999405422472909
GB108049006960,12211400.0,12211400.000000045,0.0,0.0,0.7580236382167314,0.0,0.0,0.0,0.1331037850088003,0.0,0.0,0.0,0.0,0.00023633758722522817,0.0,0.0,0.10863623918724308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Freely draining acid loamy soils over rock,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=13,1.0
GB108049007010,14449000.0,14448999.999999996,0.0,0.0,0.36685222635090403,0.0,0.0,0.0,0.06686629711939383,0.4847451244814351,0.0,0.0,0.0,0.00024049453058178966,0.0,0.0,0.08129585751768521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Freely draining slightly acid loamy soils,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=6,0.9999999999999998
unnamed_wb_266,3845083.9031805587,3836913.40310167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16510987086276793,0.0,0.05271197104569935,0.0,0.07219829913564814,0.0,0.0,0.0,0.0,0.0,0.0,0.2009499324080479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5079560253566433,0.0010739011911933996,unclassified,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=29,0.9978750788579334
GB108043022430,58813999.82317853,58813999.82317852,0.0,0.0,0.0,0.0,0.2651075775503295,0.0,0.0,0.3313061176981139,0.0,0.0,0.0,0.13970729874111792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2304158977547177,0.0,0.0,0.0,0.033463108255720964,0.0,0.0,0.0,0.0,Freely draining slightly acid loamy soils,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=6,0.9999999999999999
GB108043011010,16351007.180831306,16351007.180831298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29704215610817003,0.0,0.22309862567378405,0.0,0.0008844499106853583,0.0,0.18011757140929002,0.13094252615111204,0.12094974997878088,0.0,0.0,0.0,0.0,0.0,0.0,0.035430733282272836,0.0,0.011534187485904745,0.0,0.0,0.0,0.0,Freely draining slightly acid loamy soils,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=6,0.9999999999999996
GB108043011012,17838883.470057625,17838883.470057625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25305295658851196,0.0,0.23548170666045481,0.0,0.0623139942654684,0.0,0.0,0.14131693093104641,0.040274636797337345,0.0,0.0,0.0,0.0,0.0,0.0,0.07695232270898474,0.0,0.15088742314442624,0.0,0.0,0.03188978655500477,0.007830242348765308,Freely draining slightly acid loamy soils,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=6,1.0
GB108043022470,72107198.7983556,72107198.79835561,0.0,0.0,0.0,0.0,0.08001459674151644,0.0,0.0,0.296067275129093,0.0,0.0,0.005821091370399782,0.07158419562835405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4157929059411173,0.0,0.053524591048924,0.0,0.07257123912595884,0.0,0.0,0.003662346272727174,0.0009617587419094953,Shallow lime-rich soils over chalk or limestone,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,1.0
GB108043016160,34712697.023385204,34712697.02338524,0.0,0.0,0.0,0.0,0.08968391199212226,0.0,0.0,0.5766943367461218,0.0,0.0,0.0,0.00024554807224336277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13275807978821408,0.0,0.0,0.0,0.19661626207879662,0.0,0.0,0.0,0.004001861322501774,Freely draining slightly acid loamy soils,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=6,1.0
GB108043016180,12404700.0,12404700.0,0.0,0.0,0.0,0.0,0.16210242847152292,0.0,0.0,0.37453749078666,0.0,0.0,0.07075940969622888,0.0001580113983883803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15250265353902764,0.0,0.0,0.0,0.23994000610817226,0.0,0.0,0.0,0.0,Freely draining slightly acid loamy soils,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=6,1.0
GB108043016190,12694801.201644387,12694801.201644385,0.0,0.0,0.0,0.0,0.2298564279202354,0.0,0.0,0.5316438932799803,0.0,0.0,0.0,0.006766490862245217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14508322322600087,0.0,0.0,0.0,0.08602100367915567,0.0,0.0,0.0,0.0006289610323825013,Freely draining slightly acid loamy soils,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=6,0.9999999999999999
GB108043016200,10933902.375500001,10933902.375500005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286159303310606,0.0,0.0,0.0030871874101840472,0.08244217556465794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534429542892264,0.0,0.11694786968274998,0.0,0.1315590095860669,0.0,0.0,0.0,0.002918284533016548,Shallow lime-rich soils over chalk or limestone,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,1.0
GB108043016210,25627796.180630118,25627796.180630133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136603272778724,0.0,0.0,0.0,0.0004248311970761603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08368878630824404,0.0,0.028375293189788754,0.0,0.7502025897457091,0.0,0.0,0.0,0.0007052267804580052,Slowly permeable seasonally wet slightly acid but base-rich loamy and clayey soils,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=18,1.0
GB108043022351,109753788.76814972,109753788.76814857,0.0,0.0,0.0,0.0,0.022877751898819743,0.0,0.005975816051922814,0.009675857575574053,0.0,0.0,0.0,0.0388087312043141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9225937081195085,0.0,0.0,0.0,0.0,0.0,0.0,6.813514986080277e-05,0.0,Shallow lime-rich soils over chalk or limestone,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,0.9999999999999896
GB108043022352,82901411.23185018,82901411.23185027,0.0,0.0,0.0,0.0,0.027133108269031467,0.0,0.0,0.021315455754861455,0.0,0.0,0.0,0.07145295851304331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7913980296256454,0.0,0.0,0.0,0.0,0.0,0.0,0.08857193077140967,0.00012851706600874115,Shallow lime-rich soils over chalk or limestone,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,1.0
GB108043022360,39350400.0,39350400.0,0.0,0.0,0.0,0.0,0.05246763043795783,0.0,0.0,0.03882575872114744,0.0,0.0,0.0,0.00024275041176077225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499831551998352,0.0,0.0,0.0,0.0,0.0,0.0,0.05848070522929879,0.0,Shallow lime-rich soils over chalk or limestone,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,1.0
GB108043022370,17772400.0,17772400.0,0.0,0.0,0.0,0.0,0.3930363373709195,0.0,0.0,0.1990552068265698,0.0,0.0,0.0,0.08765018413924976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32025827166326104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Freely draining lime-rich loamy soils,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=5,1.0
GB108043022390,173437987.64090866,173437987.64090875,0.0,0.0,0.0,0.0,0.15770545191965035,0.0,0.0,0.053508491893335175,0.0,0.0,0.0,0.01605002620499177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7518066417076753,0.0,0.003939966534861265,0.0,0.0,0.0,0.0,0.016989421739486102,0.0,Shallow lime-rich soils over chalk or limestone,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,1.0
